id,domain,level,project_type,scaling_priority,budget,recommended_stack
199,Data Engineer,Beginner,Simple Data Loader,Low,0,Python SQLite
200,Data Engineer,Beginner,File Cleaner Tool,Low,0,Python

201,Data Engineer,Intermediate,Data Sync Tool,Medium,Medium,Airflow Python
202,Data Engineer,Intermediate,Cloud ETL,Medium,Medium,AWS Glue
203,Data Engineer,Intermediate,Streaming Logs,Medium,Medium,Kafka
204,Data Engineer,Intermediate,Warehouse Sync,Medium,Medium,dbt Snowflake
205,Data Engineer,Intermediate,Pipeline Monitor,Medium,Medium,Airflow UI

206,Data Engineer,Advanced,Real-time Fraud Pipeline,High,High,Kafka Spark AWS
207,Data Engineer,Advanced,Distributed ETL System,Very High,High,Spark Hadoop
208,Data Engineer,Advanced,Event-driven Architecture,High,High,Kafka Microservices
209,Data Engineer,Advanced,Petabyte Data Pipeline,Very High,High,AWS EMR S3
210,Data Engineer,Advanced,Streaming ML Pipeline,Very High,High,Flink Kafka

211,Data Scientist,Beginner,Data Cleaning Project,Low,0,Python Pandas
212,Data Scientist,Beginner,Visualization Dashboard,Low,0,Matplotlib
213,Data Scientist,Beginner,Simple Classifier,Low,0,Sklearn
214,Data Scientist,Beginner,Clustering Model,Low,0,KMeans
215,Data Scientist,Beginner,EDA Project,Low,0,Pandas Seaborn

216,Data Scientist,Intermediate,Recommendation Model,Medium,Medium,Python Surprise
217,Data Scientist,Intermediate,Forecasting Model,Medium,Medium,Prophet
218,Data Scientist,Intermediate,Text Classification,Medium,Medium,NLP Python
219,Data Scientist,Intermediate,Image Classifier,Medium,Medium,CNN TensorFlow
220,Data Scientist,Intermediate,Churn Model,Medium,Medium,XGBoost

221,Data Scientist,Advanced,Deep Learning Pipeline,High,High,PyTorch CUDA
222,Data Scientist,Advanced,AI Fraud System,Very High,High,Spark MLlib
223,Data Scientist,Advanced,Recommendation Engine,High,High,Deep Learning Redis
224,Data Scientist,Advanced,Time Series System,High,High,LSTM AWS
225,Data Scientist,Advanced,AI Decision System,Very High,High,RL Models

226,Mobile Dev,Beginner,Flashcard App,Low,0,Flutter
227,Mobile Dev,Beginner,Timer App,Low,0,Flutter Dart
228,Mobile Dev,Beginner,Reminder App,Low,0,React Native
229,Mobile Dev,Beginner,Simple Game,Low,0,Unity
230,Mobile Dev,Beginner,Notes Sync App,Low,0,Flutter Firebase

231,Mobile Dev,Intermediate,Taxi Booking App,High,Medium,Flutter Firebase
232,Mobile Dev,Intermediate,Food Ordering App,High,Medium,React Native Node
233,Mobile Dev,Intermediate,Social Feed App,High,Medium,Flutter Supabase
234,Mobile Dev,Intermediate,Health Tracker,Medium,Medium,React Native Firebase
235,Mobile Dev,Intermediate,Learning App,Medium,Medium,Flutter API

236,Mobile Dev,Advanced,Real-time Gaming App,Very High,High,Unity Multiplayer
237,Mobile Dev,Advanced,AR App,High,High,Unity ARCore
238,Mobile Dev,Advanced,AI Mobile Assistant,High,High,TensorFlow Lite
239,Mobile Dev,Advanced,Video Streaming App,Very High,High,React Native AWS
240,Mobile Dev,Advanced,Super App Platform,Very High,High,Microservices Kubernetes

241,App Dev,Beginner,Text Editor Tool,Low,0,Electron
242,App Dev,Beginner,File Organizer,Low,0,Python Tkinter
243,App Dev,Beginner,Calculator Desktop,Low,0,Python GUI
244,App Dev,Beginner,Simple Browser,Low,0,Electron
245,App Dev,Beginner,Music Player,Low,0,Python

246,App Dev,Intermediate,Markdown Editor,Medium,Medium,Electron React
247,App Dev,Intermediate,Password Manager,Medium,Medium,Electron Node
248,App Dev,Intermediate,Screen Recorder,Medium,Medium,Electron FFmpeg
249,App Dev,Intermediate,Chat Client,Medium,Medium,Electron Firebase
250,App Dev,Intermediate,Task Manager Tool,Medium,Medium,Electron React
251,Web Dev,Beginner,Portfolio with Animations,Low,0,HTML CSS JS GSAP
252,Web Dev,Beginner,Simple Blog CMS,Low,0,HTML Netlify CMS
253,Web Dev,Beginner,Startup Landing UI,Low,0,HTML Tailwind
254,Web Dev,Beginner,Product Landing Page,Low,0,HTML CSS Vercel
255,Web Dev,Beginner,Event Registration Page,Low,0,HTML JS Firebase

256,Web Dev,Intermediate,Job Board Platform,Medium,Medium,React Node MongoDB
257,Web Dev,Intermediate,Subscription Platform,Medium,Medium,Next.js Stripe Firebase
258,Web Dev,Intermediate,Online Quiz App,Medium,Low,React Node MySQL
259,Web Dev,Intermediate,Learning Platform,Medium,Medium,React Django PostgreSQL
260,Web Dev,Intermediate,Booking Website,Medium,Medium,Next.js Supabase

261,Web Dev,Advanced,Global SaaS Platform,Very High,High,Kubernetes Microservices AWS
262,Web Dev,Advanced,Realtime Trading Dashboard,Very High,High,React Kafka Node Redis
263,Web Dev,Advanced,AI SaaS Tool,High,High,Next.js FastAPI GPU
264,Web Dev,Advanced,Search Platform,Very High,High,ElasticSearch Node React
265,Web Dev,Advanced,Cloud File Storage,Very High,High,AWS S3 Node React

266,AIML,Beginner,Text Sentiment Tool,Low,0,Python Sklearn
267,AIML,Beginner,Image Classifier Basic,Low,0,TensorFlow Keras
268,AIML,Beginner,Chatbot Rule-based,Low,0,NLTK Python
269,AIML,Beginner,Data Predictor,Low,0,Pandas Sklearn
270,AIML,Beginner,Spam Filter,Low,0,NaiveBayes Python

271,AIML,Intermediate,Document Classifier,Medium,Medium,Spacy Python
272,AIML,Intermediate,Face Recognition,Medium,Medium,OpenCV
273,AIML,Intermediate,Stock Price Predictor,Medium,Medium,LSTM TensorFlow
274,AIML,Intermediate,Recommendation API,Medium,Medium,FastAPI ML
275,AIML,Intermediate,Voice Recognition App,Medium,Medium,Whisper Python

276,AIML,Advanced,LLM Chat App,High,High,LangChain OpenAI Redis
277,AIML,Advanced,AI Content Generator,High,High,Transformers PyTorch
278,AIML,Advanced,Autonomous Agent System,Very High,High,LangGraph Docker
279,AIML,Advanced,AI Search Engine,Very High,High,Vector DB Pinecone
280,AIML,Advanced,Multimodal AI App,High,High,PyTorch CUDA

281,Data Analyst,Beginner,Expense Dashboard,Low,0,Excel
282,Data Analyst,Beginner,Website Report,Low,0,Google Analytics
283,Data Analyst,Beginner,Customer Overview,Low,0,Excel Charts
284,Data Analyst,Beginner,Sales Report,Low,0,PowerBI
285,Data Analyst,Beginner,Survey Insights,Low,0,Google Sheets

286,Data Analyst,Intermediate,Marketing Dashboard,Medium,Medium,Tableau SQL
287,Data Analyst,Intermediate,Product Analytics,Medium,Medium,Python Pandas
288,Data Analyst,Intermediate,User Behavior Dashboard,Medium,Medium,SQL PowerBI
289,Data Analyst,Intermediate,Revenue Insights Tool,Medium,Medium,Python SQL
290,Data Analyst,Intermediate,Data Cleaning Workflow,Medium,Medium,Python Pandas

291,Data Engineer,Beginner,API Data Loader,Low,0,Python Requests
292,Data Engineer,Beginner,JSON to CSV Tool,Low,0,Python
293,Data Engineer,Beginner,Data Formatter,Low,0,Python Pandas
294,Data Engineer,Beginner,Simple Loader Script,Low,0,Python SQLite
295,Data Engineer,Beginner,CSV Cleaner,Low,0,Python

296,Data Engineer,Intermediate,ETL Automation Tool,Medium,Medium,Airflow Python
297,Data Engineer,Intermediate,Data Warehouse Sync,Medium,Medium,dbt Snowflake
298,Data Engineer,Intermediate,Streaming Logs Pipeline,Medium,Medium,Kafka
299,Data Engineer,Intermediate,Cloud Data Pipeline,Medium,Medium,AWS Glue
300,Data Engineer,Intermediate,Batch Processing Tool,Medium,Medium,Spark

301,Data Engineer,Advanced,Real-time Data Lake,Very High,High,AWS S3 Spark Kafka
302,Data Engineer,Advanced,Streaming Analytics System,Very High,High,Flink Kafka
303,Data Engineer,Advanced,Distributed ETL System,Very High,High,Hadoop Spark
304,Data Engineer,Advanced,Event Pipeline System,High,High,Kafka Microservices
305,Data Engineer,Advanced,Petabyte Processing System,Very High,High,AWS EMR

306,Data Scientist,Beginner,EDA Analysis,Low,0,Pandas Seaborn
307,Data Scientist,Beginner,Simple Prediction Model,Low,0,Sklearn
308,Data Scientist,Beginner,Visualization Tool,Low,0,Matplotlib
309,Data Scientist,Beginner,Clustering Project,Low,0,KMeans
310,Data Scientist,Beginner,Classification Model,Low,0,Sklearn

311,Data Scientist,Intermediate,Forecasting Model,Medium,Medium,Prophet
312,Data Scientist,Intermediate,Recommendation Model,Medium,Medium,Python Surprise
313,Data Scientist,Intermediate,Text Analytics,Medium,Medium,NLP Python
314,Data Scientist,Intermediate,Image Classifier,Medium,Medium,CNN TensorFlow
315,Data Scientist,Intermediate,Churn Prediction,Medium,Medium,XGBoost

316,Data Scientist,Advanced,Deep Learning Pipeline,High,High,PyTorch CUDA
317,Data Scientist,Advanced,Fraud Detection AI,Very High,High,Spark MLlib
318,Data Scientist,Advanced,Recommendation Engine,High,High,Deep Learning Redis
319,Data Scientist,Advanced,Time Series AI,High,High,LSTM AWS
320,Data Scientist,Advanced,Decision AI System,Very High,High,RL Models

321,Mobile Dev,Beginner,Reminder App,Low,0,Flutter
322,Mobile Dev,Beginner,ToDo Mobile App,Low,0,React Native
323,Mobile Dev,Beginner,Notes Sync App,Low,0,Flutter Firebase
324,Mobile Dev,Beginner,Simple Game App,Low,0,Unity
325,Mobile Dev,Beginner,Flashcard App,Low,0,Flutter

326,Mobile Dev,Intermediate,Taxi App,High,Medium,Flutter Firebase
327,Mobile Dev,Intermediate,Food Delivery App,High,Medium,React Native Node
328,Mobile Dev,Intermediate,Social Feed App,High,Medium,Flutter Supabase
329,Mobile Dev,Intermediate,Health Tracker App,Medium,Medium,React Native Firebase
330,Mobile Dev,Intermediate,E-learning App,Medium,Medium,Flutter API

331,Mobile Dev,Advanced,Realtime Gaming App,Very High,High,Unity Multiplayer
332,Mobile Dev,Advanced,AR Mobile App,High,High,Unity ARCore
333,Mobile Dev,Advanced,AI Assistant App,High,High,TensorFlow Lite
334,Mobile Dev,Advanced,Streaming Mobile App,Very High,High,React Native AWS
335,Mobile Dev,Advanced,Super App System,Very High,High,Kubernetes Microservices

336,App Dev,Beginner,Simple Text Editor,Low,0,Electron
337,App Dev,Beginner,File Organizer Tool,Low,0,Python Tkinter
338,App Dev,Beginner,Calculator Desktop App,Low,0,Python GUI
339,App Dev,Beginner,Simple Browser App,Low,0,Electron
340,App Dev,Beginner,Music Player App,Low,0,Python

341,App Dev,Intermediate,Markdown Editor,Medium,Medium,Electron React
342,App Dev,Intermediate,Password Manager,Medium,Medium,Electron Node
343,App Dev,Intermediate,Screen Recorder Tool,Medium,Medium,Electron FFmpeg
344,App Dev,Intermediate,Desktop Chat App,Medium,Medium,Electron Firebase
345,App Dev,Intermediate,Task Manager Tool,Medium,Medium,Electron React

346,App Dev,Advanced,Cross-platform IDE Tool,Very High,High,Electron Monaco Docker
347,App Dev,Advanced,Design Software Tool,High,High,Electron Canvas WebGL
348,App Dev,Advanced,Video Editing Software,Very High,High,C++ FFmpeg
349,App Dev,Advanced,Music Production Software,Very High,High,C++ JUCE
350,App Dev,Advanced,Professional Dev Tool,Very High,High,Electron Node Kubernetes
